ep,return,steps,corr_frac,pol_loss,val_loss,entropy,smooth_return
1051,-51.0,237,0.189873417721519,-0.3331437408924103,144.3323211669922,2.8873109817504883,-73.37093715212919
1052,-109.0,272,0.0661764705882353,-0.6064432859420776,429.0015869140625,4.077830791473389,-75.15239029452273
1053,1.0,10,0.4,-0.6284713745117188,1.1334047317504883,1.6586440801620483,-71.34477077979659
1054,-139.5,300,0.023333333333333334,-0.18079043924808502,581.2211303710938,4.089402675628662,-74.75253224080676
1055,-64.0,176,0.09090909090909091,-0.4462946355342865,238.3159637451172,3.683671474456787,-74.21490562876642
1056,-132.0,300,0.04,-0.11611305177211761,505.2228698730469,3.709818124771118,-77.10416034732809
1057,-120.0,300,0.06666666666666667,0.8205140233039856,452.56219482421875,3.993907928466797,-79.24895232996168
1058,-139.5,300,0.023333333333333334,0.1703863888978958,629.0247802734375,4.6593523025512695,-82.2615047134636
1059,-114.0,300,0.08,0.47500941157341003,385.01715087890625,3.325329303741455,-83.84842947779042
1060,-100.5,300,0.11,0.19764812290668488,355.66595458984375,4.347407341003418,-84.6810080039009
1061,-21.5,97,0.18556701030927836,-0.172340527176857,83.84193420410156,3.308356523513794,-81.52195760370586
1062,64.5,144,0.6319444444444444,0.03418463468551636,295.2956237792969,1.488763451576233,-74.22085972352056
1063,-104.0,271,0.07749077490774908,-1.1041743755340576,384.7632141113281,4.035085201263428,-75.70981673734454
1064,-9.0,300,0.31333333333333335,-0.4452587962150574,28.930879592895508,2.537855625152588,-72.37432590047732
1065,-2.5,20,0.25,-0.3292900025844574,3.021116018295288,2.055414915084839,-68.88060960545344
1066,-132.0,300,0.04,0.5874491930007935,503.9523010253906,4.216464519500732,-72.03657912518077
1067,-108.0,300,0.09333333333333334,-0.2346244901418686,332.7638244628906,3.116119146347046,-73.83475016892173
1068,-99.0,300,0.11333333333333333,0.3568923771381378,272.342041015625,2.967522144317627,-75.09301266047564
1069,-136.5,300,0.03,0.35232973098754883,607.168212890625,4.862603664398193,-78.16336202745185
1070,-25.0,56,0.03571428571428571,-0.035965852439403534,77.35575103759766,4.179311752319336,-75.50519392607926
1071,-79.5,300,0.15666666666666668,-0.3568063974380493,278.31109619140625,3.1590282917022705,-75.70493422977529
1072,-88.5,300,0.13666666666666666,-0.20571093261241913,337.98052978515625,3.154317855834961,-76.34468751828652
1073,-20.0,55,0.09090909090909091,0.25795212388038635,54.5914306640625,2.634922504425049,-73.5274531423722
1074,7.5,60,0.4166666666666667,-0.2647722363471985,10.048208236694336,2.3711025714874268,-69.47608048525358
1075,-123.0,300,0.06,0.2513499855995178,465.2701110839844,4.01084041595459,-72.1522764609909
1076,49.0,142,0.5633802816901409,0.3836023211479187,189.32891845703125,1.4614896774291992,-66.09466263794135
1077,-0.5,7,0.2857142857142857,-0.46113914251327515,0.9750922322273254,2.0318851470947266,-62.81492950604428
1078,-135.0,300,0.03333333333333333,0.36614033579826355,519.4984741210938,4.370393753051758,-66.42418303074206
1079,-72.0,300,0.17333333333333334,-0.7795785069465637,184.79812622070312,3.561367988586426,-66.70297387920495
1080,9.0,48,0.4583333333333333,0.286127507686615,17.73114776611328,1.3364238739013672,-62.917825185244695
1081,-121.5,300,0.06333333333333334,-0.2329968363046646,472.65423583984375,3.9118824005126953,-65.84693392598246
1082,-145.5,300,0.01,0.01593930646777153,613.0213623046875,5.327422618865967,-69.82958722968333
1083,-63.0,300,0.19333333333333333,-0.21838180720806122,128.75765991210938,2.51419997215271,-69.48810786819917
1084,-76.5,300,0.16333333333333333,0.03486454114317894,240.5283966064453,3.099639415740967,-69.8387024747892
1085,6.5,35,0.45714285714285713,-0.3975384831428528,7.231624603271484,1.3917388916015625,-66.02176735104973
1086,-76.5,243,0.12345679012345678,-0.8042107224464417,222.125244140625,3.342426061630249,-66.54567898349724
1087,-112.5,300,0.08333333333333333,-0.46643540263175964,332.0524597167969,3.752821922302246,-68.84339503432238
1088,-83.0,202,0.0594059405940594,-0.15088120102882385,350.8925476074219,3.8586182594299316,-69.55122528260627
1089,-127.5,300,0.05,-0.7111057639122009,487.2763671875,4.379281520843506,-72.44866401847595
1090,-129.0,300,0.04666666666666667,0.23375046253204346,508.48046875,3.0775158405303955,-75.27623081755216
1091,198.0,300,0.7733333333333333,0.004577815067023039,1200.1934814453125,0.8486331105232239,-61.61241927667455
1092,-127.5,300,0.05,-0.1582004725933075,462.8410949707031,4.162800312042236,-64.90679831284082
1093,-144.0,300,0.013333333333333334,0.23420919477939606,575.0678100585938,4.593175888061523,-68.86145839719877
1094,-66.0,300,0.18666666666666668,-0.3478642404079437,115.67935180664062,3.5640292167663574,-68.71838547733883
1095,-132.0,300,0.04,0.26815155148506165,534.055419921875,3.9664909839630127,-71.88246620347188
1096,-97.5,300,0.11666666666666667,-0.04141739010810852,355.02276611328125,3.1741838455200195,-73.16334289329828
1097,-117.0,300,0.07333333333333333,-0.7970268726348877,477.889892578125,3.75960373878479,-75.35517574863336
1098,-21.5,100,0.19,-0.218414306640625,29.37114906311035,2.9042820930480957,-72.66241696120169
1099,-0.5,10,0.3,-0.5279182195663452,0.3524603545665741,2.1945903301239014,-69.0542961131416
1100,-69.0,300,0.18,0.1442468762397766,133.15428161621094,2.1491870880126953,-69.05158130748453
1101,-78.0,300,0.16,-0.22403626143932343,306.8651123046875,2.9354915618896484,-69.49900224211031
1102,-79.5,300,0.15666666666666668,-0.31276804208755493,250.4322967529297,3.022693395614624,-69.99905213000478
1103,-133.5,300,0.03666666666666667,-0.33032551407814026,537.9921264648438,3.4591495990753174,-73.17409952350454
1104,-136.5,300,0.03,0.4433647692203522,535.7754516601562,3.607917547225952,-76.34039454732931
1105,4.0,148,0.35135135135135137,-0.41452351212501526,11.19317626953125,2.072798013687134,-72.32337481996284
1106,-34.5,300,0.25666666666666665,-0.3047925531864166,80.97801208496094,2.436025857925415,-70.43220607896468
1107,25.0,109,0.48623853211009177,-0.02369966357946396,63.89944839477539,1.2784392833709717,-65.66059577501645
1108,-102.0,300,0.10666666666666667,0.5491630434989929,318.2593994140625,3.366523027420044,-67.47756598626562
1109,-120.0,300,0.06666666666666667,0.24946431815624237,506.15533447265625,4.396692752838135,-70.10368768695233
1110,-127.5,300,0.05,-0.0472247339785099,523.9432373046875,4.37541389465332,-72.97350330260471
1111,-76.0,164,0.024390243902439025,0.08706101775169373,338.9365234375,3.753490447998047,-73.12482813747447
1112,-141.0,300,0.02,0.7874329090118408,596.5894775390625,4.00856351852417,-76.51858673060073
1113,-111.0,300,0.08666666666666667,0.36941641569137573,454.3757019042969,4.4189324378967285,-78.24265739407069
1114,-60.5,220,0.15,-0.1495482176542282,193.30567932128906,2.7966089248657227,-77.35552452436715
1115,-130.5,300,0.043333333333333335,0.2638176679611206,531.407958984375,4.691476345062256,-80.0127482981488
1116,-51.0,264,0.20454545454545456,-0.33218133449554443,91.97473907470703,2.7214858531951904,-78.56211088324135
1117,-139.5,300,0.023333333333333334,0.18967938423156738,598.6526489257812,4.493483066558838,-81.60900533907927
1118,-65.5,185,0.0972972972972973,-0.0010892301797866821,249.7187957763672,2.4680416584014893,-80.8035550721253
1119,-120.0,300,0.06666666666666667,0.2632230222225189,473.6841735839844,3.2536001205444336,-82.76337731851903
1120,4.5,90,0.36666666666666664,-0.3007121980190277,2.3364322185516357,2.058624029159546,-78.40020845259308
1121,-105.5,286,0.08741258741258741,-0.0731944888830185,422.2775573730469,2.9324653148651123,-79.75519802996342
1122,-135.0,300,0.03333333333333333,0.15091963112354279,582.175048828125,3.6604936122894287,-82.51743812846524
1123,-101.5,257,0.07003891050583658,-0.4257792830467224,359.1770935058594,3.547075033187866,-83.46656622204198
1124,-115.5,300,0.07666666666666666,-0.0017934800125658512,405.5890197753906,2.7523980140686035,-85.06823791093989
1125,-144.0,300,0.013333333333333334,0.3839039206504822,610.5806274414062,4.625503063201904,-88.01482601539288
1126,-63.0,300,0.19333333333333333,-0.17755816876888275,183.384033203125,2.5051417350769043,-86.76408471462324
1127,-19.5,300,0.29,-0.4438338875770569,38.88467025756836,3.10357928276062,-83.40088047889206
